# Analytical parameters for scattering factors in the 0 <= sin theta/lamda < 2.0 ≈^-1 range.
# Reference: Z. Su and P. Coppens, Acta Cryst.  A53, 749-762 (1997).
# Preparation of the table: C. Kim, I. Novozhilova, and P. Coppens.
# Z	Atom	
#	a1		a2		a3		a4		a5		a6
#	b1		b2		b3		b4		b5		b6

1	H
	3.44787		0.15426		2.07387		8.38441		34.93356	99.34732

32 Ge
	9.56335		7.86994		7.64215		3.31296		2.13351		1.47704
	2.21494		0.14284		3.86490		32.69417	8.94286		82.15827

33 As
	10.86205	7.83248		5.48862		4.21250		2.56904		2.03413
	2.10046		0.13209		3.33631		26.38254	5.81992		63.74567

34 Se
	12.63843	7.77316		5.80645		4.44296		1.82898		1.50938
	1.97006		0.12167		3.57609		28.84348	15.15766	64.03025

35 Br
	12.56835	7.70669		5.76243		4.78093		2.48412		1.69674
	1.79826		0.11204		2.98848		25.62856	14.95420	55.44329

36 Kr
	13.32373	7.64645		5.71351		4.95009		2.80427		1.56038
	1.67399		0.10346		17.43646	2.62566		42.87908	19.80281

37 Rb
	17.73932	7.70415		5.33484		4.92829		1.28671		0.00010
	1.68298		0.09944		12.80739	23.59343	200.00000	77.16806

38 Sr
	11.77920	9.53489		7.57120		6.03047		2.02653		1.05652
	1.52266		13.50271	0.08995		1.52251		162.86971	53.07068

39 Y	
	17.89478	9.91124		7.40424		2.14475		1.64266		0.00010
	1.37779		12.18084	0.08009		137.73235	49.81442	0.42187

40 Zr
	18.00877	10.47108	7.22234		2.43263		1.86405		0.00010
	1.25042		11.25972	0.07050		49.09408	131.67513	1.76480

41 Nb
	18.18722	11.07349	7.02786		3.35224		1.35250		0.00606
	1.13993		10.82683	0.06116		38.71734	115.18009	1.19550

42 Mo
	18.36000	6.75320		6.25470		5.52972		3.76774		1.33338
	1.03291		0.05000		10.10135	10.12179	34.16693	104.10497

43 Tc
	18.53113	12.72135	6.39681		2.88811		1.72002		0.74148
	0.93112		9.26800		0.03703		31.91681	110.11821	44.07274

44 Ru
	18.82022	13.49636	6.01136		3.54102		1.19962		0.93207
	0.84363		8.84277		0.02355		27.02179	44.09284	113.68484

45 Rh
	19.15093	14.43898	4.66972		4.66263		1.22522		0.85125
	0.75936		8.27523		26.67965	0.00694		97.04210	0.00695

46 Pd
	19.32300	15.30162	5.26970		5.12338		0.98021		0.00010
	0.69750		7.93132		0.00010		23.54133	60.82499	1.28291

47 Ag
	19.28330	16.71519	5.18450		4.77793		1.03807		0.00010
	0.64519		7.48785		0.00010		24.79225	100.31405	2.33951

48 Cd
	19.22320	17.67107	5.07851		4.43017		1.59588		0.00010
	0.59542		6.92490		0.00010		24.85505	87.61222	31.90172

49 In
	19.16300	18.59170	4.95237		4.27994		2.00969		0.00010
	0.54868		6.39500		0.00010		26.18224	93.70112	8.23922

50 Sn
	19.22704	19.09869	4.79841		4.37320		2.50037		0.00010
	5.84698		0.50421		0.00010		27.22571	81.57248	31.56814

51 Sb
	19.04077	13.05412	6.63670		4.95963		4.60941		2.69795
	0.46176		5.31900		5.31953		28.54198	0.00010		72.65174

52 Te
	19.96327	18.99686	6.19148		4.38583		2.46194		0.00010
	4.81879		0.42169		28.79858	0.00010		70.63864	12.77096

53 I
	18.97925	15.69578	7.06433		4.42489		4.10018		2.73271
	0.38267		4.34879		26.93604	4.35210		0.00010		61.59836

54 Xe
	20.29787	19.00556	9.04165		3.76022		1.89561		0.00010
	3.93838		0.34588		26.70066	0.00010		65.34476	20.30305
